InvoiceID,product_id,quantity,price,line_total
536365,3851,6,2.55,15.299999999999999
536365,3859,6,3.39,20.34
536365,885,8,2.75,22.0
536365,1873,6,3.39,20.34
536365,2871,6,3.39,20.34
536365,3085,2,7.65,15.3
536365,1487,6,4.25,25.5
536366,1609,6,1.85,11.100000000000001
536366,1606,6,1.85,11.100000000000001
536367,209,32,1.69,54.08
536367,2702,6,2.1,12.600000000000001
536367,2703,6,2.1,12.600000000000001
536367,1246,8,3.75,30.0
536367,1766,6,1.65,9.899999999999999
536367,525,6,4.25,25.5
536367,531,3,4.95,14.850000000000001
536367,530,2,9.95,19.9
536367,1703,3,5.95,17.85
536367,1998,3,5.95,17.85
536367,2774,4,7.95,31.8
536367,1058,4,7.95,31.8
536368,1795,6,4.25,25.5
536368,2793,3,4.95,14.850000000000001
536368,3991,3,4.95,14.850000000000001
536368,413,3,4.95,14.850000000000001
536369,278,3,5.95,17.85
536370,138,24,3.75,90.0
536370,139,24,3.75,90.0
536370,135,12,3.75,45.0
536370,2389,12,0.85,10.2
536370,3482,24,0.65,15.600000000000001
536370,1752,48,0.85,40.8
536370,3730,24,1.25,30.0
536370,3225,18,2.95,53.1
536370,2990,24,2.95,70.80000000000001
536370,3446,24,1.95,46.8
536370,2028,24,1.95,46.8
536370,800,24,1.95,46.8
536370,688,20,0.85,17.0
536370,2867,24,1.65,39.599999999999994
536370,3062,24,2.95,70.80000000000001
536370,3759,12,3.75,45.0
536370,2119,24,0.42,10.08
536370,2125,24,0.42,10.08
536370,2129,36,0.65,23.400000000000002
536370,2711,3,18.0,54.0
536371,2408,80,2.55,204.0
536372,1606,6,1.85,11.100000000000001
536372,1609,6,1.85,11.100000000000001
536373,3851,6,2.55,15.299999999999999
536373,3859,6,3.39,20.34
536373,885,8,2.75,22.0
536373,1124,6,4.95,29.700000000000003
536373,2895,6,1.06,6.36
536373,3031,6,1.06,6.36
536373,3700,6,1.06,6.36
536373,3701,6,1.06,6.36
536373,3899,2,4.95,9.9
536373,3902,4,6.95,27.8
536373,3917,6,2.1,12.600000000000001
536373,3913,6,2.55,15.299999999999999
536373,1873,6,3.39,20.34
536373,2871,6,3.39,20.34
536373,3085,2,7.65,15.3
536373,1487,6,4.25,25.5
536374,3683,32,10.95,350.4
536375,3851,6,2.55,15.299999999999999
536375,3859,6,3.39,20.34
536375,885,8,2.75,22.0
536375,1124,6,4.95,29.700000000000003
536375,2895,6,1.06,6.36
536375,3031,6,1.06,6.36
536375,3700,6,1.06,6.36
536375,3701,6,1.06,6.36
536375,3899,2,4.95,9.9
536375,3902,4,6.95,27.8
536375,3917,6,2.1,12.600000000000001
536375,3913,6,2.55,15.299999999999999
536375,1873,6,3.39,20.34
536375,2871,6,3.39,20.34
536375,3085,2,7.65,15.3
536375,1487,6,4.25,25.5
536376,1729,48,3.45,165.60000000000002
536376,2807,64,2.55,163.2
536377,1606,6,1.85,11.100000000000001
536377,1609,6,1.85,11.100000000000001
536378,1826,10,1.95,19.5
536378,1816,10,1.95,19.5
536378,1820,10,2.95,29.5
536378,3495,10,0.85,8.5
536378,2788,12,3.75,45.0
536378,400,6,3.75,22.5
536378,3272,12,0.85,10.2
536378,2018,10,1.65,16.5
536378,3499,6,2.55,15.299999999999999
536378,2030,6,2.55,15.299999999999999
536378,2363,120,0.42,50.4
536378,2359,24,0.55,13.200000000000001
536378,2361,24,0.55,13.200000000000001
536378,100,24,0.55,13.200000000000001
536378,3590,6,2.95,17.700000000000003
536378,675,48,1.25,60.0
536378,2792,96,0.38,36.480000000000004
536378,1841,10,1.95,19.5
536378,1827,10,1.95,19.5
536380,1794,24,1.45,34.8
536381,2921,23,4.25,97.75
536381,1452,5,4.95,24.75
536381,1839,10,1.95,19.5
536381,133,2,2.1,4.2
536381,3869,6,1.25,7.5
536381,2798,24,1.25,30.0
536381,827,24,1.25,30.0
536381,2486,1,1.25,1.25
536381,1219,1,0.85,0.85
536381,2503,1,2.55,2.55
536381,3344,10,1.65,16.5
536381,4005,3,1.69,5.07
536381,857,1,1.95,1.95
536381,1439,2,2.1,4.2
536381,3990,1,2.95,2.95
536381,2529,1,2.95,2.95
536381,2408,4,2.95,11.8
536381,2411,1,2.95,2.95
536381,3377,6,0.85,5.1
536381,2486,3,1.25,3.75
536381,3559,2,2.55,5.1
536381,1221,1,0.85,0.85
536381,4030,1,0.85,0.85
536381,661,1,1.45,1.45
536381,2916,1,4.95,4.95
536381,3182,2,2.95,5.9
536381,1121,2,5.95,11.9
536381,1122,2,5.95,11.9
536381,666,4,1.45,5.8
536381,452,1,2.95,2.95
536381,267,1,1.95,1.95
536381,2867,2,1.65,3.3
536381,1477,3,3.95,11.850000000000001
536381,1588,36,1.06,38.160000000000004
536381,1050,10,6.75,67.5
536382,1752,12,0.85,10.2
536382,3761,8,3.75,30.0
536382,745,12,1.65,19.799999999999997
536382,1839,10,1.95,19.5
536382,2784,10,2.1,21.0
536382,3597,50,1.85,92.5
536382,174,8,2.95,23.6
536382,135,4,3.75,15.0
536382,1760,12,5.95,71.4
536382,43,2,14.95,29.9
536382,44,2,14.95,29.9
536382,3067,4,16.95,67.8
536384,3901,3,6.45,19.35
536384,845,48,0.65,31.200000000000003
536384,1632,12,1.65,19.799999999999997
536384,1630,6,2.95,17.700000000000003
536384,2219,12,2.95,35.400000000000006
536384,1666,40,1.45,58.0
536384,1665,40,2.55,102.0
536384,3858,6,2.95,17.700000000000003
536384,818,2,12.75,25.5
536384,889,4,3.95,15.8
536384,1171,3,5.95,17.85
536384,1170,6,6.95,41.7
536384,1167,8,10.95,87.6
536385,3067,1,19.95,19.95
536385,1794,12,1.45,17.4
536385,1795,6,4.25,25.5
536385,1822,10,1.95,19.5
536385,3600,12,1.25,15.0
536385,2293,2,8.5,17.0
536385,2015,10,1.65,16.5
536386,3883,36,4.95,178.20000000000002
536386,1816,100,1.65,165.0
536386,1828,100,1.65,165.0
536387,738,192,3.82,733.4399999999999
536387,1975,192,3.37,647.04
536387,3916,192,3.37,647.04
536387,1205,432,1.45,626.4
536387,2867,432,1.25,540.0
536388,1703,3,5.95,17.85
536388,1998,3,5.95,17.85
536388,1050,2,7.95,15.9
536388,1705,3,4.95,14.850000000000001
536388,1444,3,4.25,12.75
536388,1271,6,2.95,17.700000000000003
536388,1632,12,1.65,19.799999999999997
536388,205,12,0.42,5.04
536388,1381,12,0.85,10.2
536388,1717,12,1.45,17.4
536388,1380,12,0.85,10.2
536388,2964,4,6.75,27.0
536388,1666,12,1.65,19.799999999999997
536388,79,12,1.65,19.799999999999997
536389,765,6,8.5,51.0
536389,3765,8,4.95,39.6
536389,3730,12,1.25,15.0
536389,3124,6,5.45,32.7
536389,3126,4,6.35,25.4
536389,2854,6,5.95,35.7
536389,388,3,5.95,17.85
536389,2796,2,8.5,17.0
536389,135,4,3.75,15.0
536389,139,4,3.75,15.0
536389,418,2,8.5,17.0
536389,1757,2,8.5,17.0
536389,1908,24,1.65,39.599999999999994
536389,3378,24,0.85,20.4
536390,765,2,8.5,17.0
536390,1795,12,3.75,45.0
536390,1794,12,1.45,17.4
536390,1793,48,0.72,34.56
536390,1792,48,0.72,34.56
536390,2966,8,8.5,68.0
536390,1626,144,0.64,92.16
536390,2413,40,2.55,102.0
536390,1002,288,0.1,28.8
536390,3851,64,2.55,163.2
536390,3393,100,0.72,72.0
536390,1916,50,1.45,72.5
536390,2916,12,4.25,51.0
536390,3226,96,0.64,61.44
536390,3272,96,0.64,61.44
536390,3271,48,0.65,31.200000000000003
