antecedent,consequent,confidence,lift,support,antecedent_str,consequent_str,rule
['60 teatime fairy cake cases'],['pack of 72 retrospot cake cases'],0.875,22.113636363636367,0.025179856115107913,60 teatime fairy cake cases,pack of 72 retrospot cake cases,60 teatime fairy cake cases -> pack of 72 retrospot cake cases
['childs garden fork pink'],['childs garden trowel pink'],1.0,39.714285714285715,0.025179856115107913,childs garden fork pink,childs garden trowel pink,childs garden fork pink -> childs garden trowel pink
['childs garden trowel pink'],['childs garden fork pink'],1.0,39.714285714285715,0.025179856115107913,childs garden trowel pink,childs garden fork pink,childs garden trowel pink -> childs garden fork pink
['green regency teacup and saucer'],['pink regency teacup and saucer'],0.8571428571428571,34.04081632653061,0.02158273381294964,green regency teacup and saucer,pink regency teacup and saucer,green regency teacup and saucer -> pink regency teacup and saucer
['green regency teacup and saucer'],['roses regency teacup and saucer'],0.8571428571428571,29.78571428571428,0.02158273381294964,green regency teacup and saucer,roses regency teacup and saucer,green regency teacup and saucer -> roses regency teacup and saucer
"['green regency teacup and saucer', 'pink regency teacup and saucer']",['roses regency teacup and saucer'],1.0,34.75,0.02158273381294964,"green regency teacup and saucer,pink regency teacup and saucer",roses regency teacup and saucer,"green regency teacup and saucer,pink regency teacup and saucer -> roses regency teacup and saucer"
"['green regency teacup and saucer', 'roses regency teacup and saucer']",['pink regency teacup and saucer'],1.0,39.714285714285715,0.02158273381294964,"green regency teacup and saucer,roses regency teacup and saucer",pink regency teacup and saucer,"green regency teacup and saucer,roses regency teacup and saucer -> pink regency teacup and saucer"
['pink regency teacup and saucer'],['green regency teacup and saucer'],0.8571428571428571,34.04081632653061,0.02158273381294964,pink regency teacup and saucer,green regency teacup and saucer,pink regency teacup and saucer -> green regency teacup and saucer
['pink regency teacup and saucer'],['roses regency teacup and saucer'],1.0,34.75,0.025179856115107913,pink regency teacup and saucer,roses regency teacup and saucer,pink regency teacup and saucer -> roses regency teacup and saucer
"['pink regency teacup and saucer', 'roses regency teacup and saucer']",['green regency teacup and saucer'],0.8571428571428571,34.04081632653061,0.02158273381294964,"pink regency teacup and saucer,roses regency teacup and saucer",green regency teacup and saucer,"pink regency teacup and saucer,roses regency teacup and saucer -> green regency teacup and saucer"
['roses regency teacup and saucer'],['green regency teacup and saucer'],0.75,29.785714285714285,0.02158273381294964,roses regency teacup and saucer,green regency teacup and saucer,roses regency teacup and saucer -> green regency teacup and saucer
['roses regency teacup and saucer'],['pink regency teacup and saucer'],0.875,34.75,0.025179856115107913,roses regency teacup and saucer,pink regency teacup and saucer,roses regency teacup and saucer -> pink regency teacup and saucer
